date,value
2020-09-01,1.24628445
2020-09-02,1.25837382
2020-09-03,1.26055809
2020-09-04,1.24373925
2020-09-05,1.26630083
2020-09-06,1.25835004
2020-09-07,1.26975072
2020-09-08,1.25107962
2020-09-09,1.20676842
2020-09-10,1.20610321
2020-09-11,1.22187973
2020-09-12,1.19376671
2020-09-13,1.15546999
2020-09-14,1.11038767
2020-09-15,1.13987407
2020-09-16,1.12670335
2020-09-17,1.15293987
2020-09-18,1.11386591
2020-09-19,1.10308655
2020-09-20,1.11674369
2020-09-21,1.24058189
2020-09-22,1.15039339
2020-09-23,1.14742487
2020-09-24,1.07853945
2020-09-25,1.14038144
2020-09-26,1.13108672
2020-09-27,1.14036314
2020-09-28,1.1478847
2020-09-29,1.13626958
2020-09-30,1.11258547
2020-10-01,1.10405942
2020-10-02,1.10275689
2020-10-03,1.08971353
2020-10-04,1.08387417
2020-10-05,1.06957285
2020-10-06,1.10208924
2020-10-07,1.09358785
2020-10-08,1.08319472
2020-10-09,1.14315914
2020-10-10,1.23160804
2020-10-11,1.19111258
2020-10-12,1.24704685
2020-10-13,1.18822699
2020-10-14,1.16714395
2020-10-15,1.15342502
2020-10-16,1.19697573
2020-10-17,1.14366177
2020-10-18,1.11666777
2020-10-19,1.11024876
2020-10-20,1.07215254
2020-10-21,1.15060952
2020-10-22,1.16165533
2020-10-23,1.14229904
2020-10-24,1.16483287
2020-10-25,1.10722735
2020-10-26,1.05737237
2020-10-27,1.09318421
2020-10-28,1.02678925
2020-10-29,1.0542305
2020-10-30,1.04310861
2020-10-31,1.07158435
2020-11-01,1.08310696
2020-11-02,1.07611771
2020-11-03,1.0526568
2020-11-04,1.08182475
2020-11-05,1.19478578
2020-11-06,1.29475845
2020-11-07,1.25728397
2020-11-08,1.14971527
2020-11-09,1.15383438
2020-11-10,1.16488472
2020-11-11,1.19454711
2020-11-12,1.1353876
2020-11-13,1.12680538
2020-11-14,1.12491155
2020-11-15,1.12407778
2020-11-16,1.10682061
2020-11-17,1.17851394
2020-11-18,1.30509764
2020-11-19,1.19712318
2020-11-20,1.23001512
2020-11-21,1.20798617
2020-11-22,1.27457793
2020-11-23,1.25060277
2020-11-24,1.29620401
2020-11-25,1.25440484
2020-11-26,1.25241256
2020-11-27,1.10626503
2020-11-28,1.13663308
2020-11-29,1.16248441
2020-11-30,1.21857261
2020-12-01,1.28611819
2020-12-02,1.2404127
2020-12-03,1.2606846
2020-12-04,1.18743904
2020-12-05,1.2136766
2020-12-06,1.23216488
2020-12-07,1.2114114
2020-12-08,1.17692613
2020-12-09,1.06152272
2020-12-10,1.13540543
2020-12-11,1.10491006
2020-12-12,1.06099381
2020-12-13,1.07780072
2020-12-14,1.06523646
2020-12-15,1.0713607
2020-12-16,1.21300799
2020-12-17,1.26831122
2020-12-18,1.24023973
2020-12-19,1.27189335
2020-12-20,1.22052344
2020-12-21,1.22717358
2020-12-22,1.22192075
2020-12-23,1.05359465
2020-12-24,1.14584675
2020-12-25,1.21675059
2020-12-26,1.22687427
2020-12-27,1.20601485
2020-12-28,1.18529332
2020-12-29,1.21799241
2020-12-30,1.18671397
2020-12-31,1.21824955
2021-01-01,1.18575028
2021-01-02,1.20178738
2021-01-03,1.202524
2021-01-04,1.21539589
2021-01-05,1.26447871
2021-01-06,1.18894583
2021-01-07,1.1892453
2021-01-08,1.47145548
2021-01-09,1.38268163
2021-01-10,1.51312744
2021-01-11,1.28343019
2021-01-12,1.28400188
2021-01-13,1.10260836
2021-01-14,1.15500745
2021-01-15,1.1145349
2021-01-16,1.11188883
2021-01-17,1.17444779
2021-01-18,1.17070228
2021-01-19,1.15364334
2021-01-20,1.17778045
2021-01-21,1.04993584
2021-01-22,1.01617324
2021-01-23,1.01859743
2021-01-24,1.01363804
2021-01-25,1.07929045
2021-01-26,1.15739973
2021-01-27,1.15341025
2021-01-28,1.10574986
2021-01-29,1.26573533
2021-01-30,1.32087696
2021-01-31,1.2328503
2021-02-01,1.30823062
2021-02-02,1.35207586
2021-02-03,1.39999706
2021-02-04,1.4010817
2021-02-05,1.31614269
2021-02-06,1.40703947
2021-02-07,1.30534881
2021-02-08,1.42965214
2021-02-09,1.3976175
2021-02-10,1.37389503
2021-02-11,1.41699072
2021-02-12,1.41680466
2021-02-13,1.3560138
2021-02-14,1.36545734
2021-02-15,1.43029594
2021-02-16,1.38301339
2021-02-17,1.37035895
2021-02-18,1.31383048
2021-02-19,1.40772981
2021-02-20,1.34539086
2021-02-21,1.33143968
2021-02-22,1.28072746
2021-02-23,1.30903597
2021-02-24,1.26785146
2021-02-25,1.23651918
2021-02-26,1.22748211
2021-02-27,1.23965541
2021-02-28,1.31484462
2021-03-01,1.25893525
2021-03-02,1.27061647
2021-03-03,1.23940931
2021-03-04,1.24411155
2021-03-05,1.28544624
2021-03-06,1.25278489
2021-03-07,1.31977235
2021-03-08,1.39652567
2021-03-09,1.29279923
2021-03-10,1.324982
2021-03-11,1.20555156
2021-03-12,1.16794484
2021-03-13,1.2904902
2021-03-14,1.27195158
2021-03-15,1.19765283
2021-03-16,1.20321139
2021-03-17,1.21968222
2021-03-18,1.2515919
2021-03-19,1.25012129
2021-03-20,1.26092838
2021-03-21,1.22056781
2021-03-22,1.18331324
2021-03-23,1.23987251
2021-03-24,1.11732653
2021-03-25,1.17957328
2021-03-26,1.12524812
2021-03-27,1.16032321
2021-03-28,1.16419841
2021-03-29,1.23914086
2021-03-30,1.29021496
2021-03-31,1.33143302
2021-04-01,1.27346761
2021-04-02,1.28221877
2021-04-03,1.26245019
2021-04-04,1.22850234
2021-04-05,1.28831565
2021-04-06,1.27507912
2021-04-07,1.23311304
2021-04-08,1.22578951
2021-04-09,1.21341303
2021-04-10,1.22256394
2021-04-11,1.26011782
2021-04-12,1.22198539
2021-04-13,1.22588734
2021-04-14,1.22702211
2021-04-15,1.25722265
2021-04-16,1.24694585
2021-04-17,1.23344421
2021-04-18,1.17893592
2021-04-19,1.15244662
2021-04-20,1.16191116
2021-04-21,1.13801681
2021-04-22,1.16385882
2021-04-23,1.17256582
2021-04-24,1.21947108
2021-04-25,1.14560809
2021-04-26,1.1697455
2021-04-27,1.2088527
2021-04-28,1.25886977
2021-04-29,1.20020234
2021-04-30,1.15631277
2021-05-01,1.20556905
2021-05-02,1.2039601
2021-05-03,1.22349749
2021-05-04,1.2118527
2021-05-05,1.24057929
2021-05-06,1.23343136
2021-05-07,1.24615048
2021-05-08,1.2418649
2021-05-09,1.24813286
2021-05-10,1.26946525
2021-05-11,1.228105
2021-05-12,1.23927553
2021-05-13,1.1863525
2021-05-14,1.22733122
2021-05-15,1.22668114
2021-05-16,1.15739161
2021-05-17,1.14034931
2021-05-18,1.14583304
2021-05-19,1.21593791
2021-05-20,1.35736956
2021-05-21,1.1479346
2021-05-22,1.31622059
2021-05-23,1.15599469
2021-05-24,1.15344791
2021-05-25,1.18558103
2021-05-26,1.09638209
2021-05-27,1.17913223
2021-05-28,1.16432933
2021-05-29,1.14051832
2021-05-30,1.18647211
2021-05-31,1.13326574
2021-06-01,1.15201697
2021-06-02,1.12853838
2021-06-03,1.17007787
2021-06-04,1.15240352
2021-06-05,1.11688632
2021-06-06,1.09675149
2021-06-07,1.12356093
2021-06-08,1.11118656
2021-06-09,1.11007317
2021-06-10,1.11524727
2021-06-11,1.08386842
2021-06-12,1.11307964
2021-06-13,1.08700675
2021-06-14,1.10499945
2021-06-15,1.09286757
2021-06-16,1.08531973
2021-06-17,1.05257887
2021-06-18,1.07672053
2021-06-19,1.06708451
2021-06-20,1.05562401
2021-06-21,1.10114604
2021-06-22,1.12529953
2021-06-23,1.08286794
2021-06-24,1.10148261
2021-06-25,1.04982529
2021-06-26,1.08470614
2021-06-27,1.10354296
2021-06-28,1.10287144
2021-06-29,1.13301284
2021-06-30,1.09493874
2021-07-01,1.09995594
2021-07-02,1.09680878
2021-07-03,1.08861875
2021-07-04,1.06976834
2021-07-05,1.08729889
2021-07-06,1.07167911
2021-07-07,1.08560013
2021-07-08,1.08753406
2021-07-09,1.09561681
2021-07-10,1.08739456
