date,value
2021-12-01,0.9824013748
2021-12-02,0.972576389
2021-12-03,0.9507364839
2021-12-04,0.9438534436
2021-12-05,0.966802606
2021-12-06,0.9334711064
2021-12-07,0.9426223979
2021-12-08,0.9359406688
2021-12-09,0.9149026296
2021-12-10,0.9302901756
2021-12-11,0.9236201446
2021-12-12,0.9202873695
2021-12-13,0.8984683158
2021-12-14,0.9145278557
2021-12-15,0.9516193132
2021-12-16,0.933587855
2021-12-17,0.8945933558
2021-12-18,0.9137182778
2021-12-19,0.9182729697
2021-12-20,0.9093663694
2021-12-21,0.9627966616
2021-12-22,0.9518234706
2021-12-23,0.9879041915
2021-12-24,0.957870008
2021-12-25,0.9631152365
2021-12-26,0.9333893504
2021-12-27,0.926916711
2021-12-28,0.9033389607
2021-12-29,0.9026994353
2022-01-30,0.94312658
2022-05-27,1.0260448956
2022-05-28,0.947097327
2022-05-29,1.0001159625
2022-05-30,1.0147843814
2022-05-31,1.1172098868
2022-06-01,1.0347271447
2022-06-02,0.9732039899
2022-06-03,1.014702397
2022-06-04,0.9912079418
2022-06-05,0.9793284786
2022-06-06,1.0088340265
2022-06-07,0.9883007493
2022-06-08,0.9789506648
2022-06-09,0.9678277802
2022-06-10,0.9562045794
2022-06-11,1.0304155996
2022-06-12,1.1375909996
2022-06-13,1.1772071481
2022-06-14,1.0736268597
2022-06-15,1.1499061314
2022-06-16,1.2046447321
2022-06-17,1.1145912082
2022-06-18,1.1647895336
2022-06-19,1.2065982662
2022-06-20,1.1612295042
2022-06-21,1.1310961945
2022-06-22,1.1922128562
2022-06-23,1.181917367
2022-12-14,1.1811267826
2022-12-15,1.1786121926
2022-12-16,1.1179006211
2022-12-17,1.0832196648
2022-12-18,1.0569206859
2022-12-19,1.050675051
2022-12-20,1.0625736424
2022-12-21,1.1183739994
2022-12-22,1.1232092353
2022-12-23,1.1401342692
2022-12-24,1.1234111194
2022-12-25,1.1573794393
2022-12-26,1.155399348
2022-12-27,1.1460636837
2022-12-28,1.1302348784
2022-12-29,1.154748976
2022-12-30,1.1743797417
2022-12-31,1.1795010253
2023-01-01,1.1702305286
2023-01-02,1.1785025434
2023-01-03,1.1632853669
2023-01-04,1.1653615205
2023-01-05,1.1844390049
2023-01-06,1.1623636026
2023-01-07,1.1816247269
2023-01-08,1.163647006
2023-01-09,1.1832083266
2023-01-10,1.1897289635
2023-01-11,1.1925046998
2023-01-12,1.2264041649
2023-01-13,1.2323903103
2023-01-14,1.331044263
2023-01-15,1.332983606
2023-01-16,1.3095656178
2023-01-17,1.3064013887
2023-01-18,1.3281404295
2023-01-19,1.3181929756
2023-01-20,1.3445081916
2023-01-21,1.375376338
2023-01-22,1.3417836571
2023-01-23,1.366582468
2023-01-24,1.3624394126
2023-01-25,1.3210060479
2023-01-26,1.355926784
2023-01-27,1.3416257164
2023-01-28,1.3163884576
2023-01-29,1.3094612287
2023-01-30,1.3565154338
2023-01-31,1.3463048955
2023-02-01,1.329746225
2023-02-02,1.3202406347
2023-02-03,1.2972198628
2023-02-04,1.2851945999
2023-02-05,1.2825499585
2023-02-06,1.2778068263
2023-02-07,1.2769678777
2023-02-08,1.3119169025
2023-02-09,1.2755608641
2023-02-10,1.2338538528
2023-02-11,1.2272253628
2023-02-12,1.1634693297
2023-02-13,1.17369596
2023-02-14,1.1287323045
2023-02-15,1.1816914497
2023-02-16,1.2478928385
2023-02-17,1.2348321964
2023-02-18,1.2308712123
2023-02-19,1.2470202876
2023-02-20,1.2204515643
2023-02-21,1.2008418451
2023-02-22,1.2052174518
2023-02-23,1.219697591
2023-02-24,1.2024255835
2023-02-25,1.1928819132
2023-02-26,1.1743797942
2023-02-27,1.2168050608
2023-02-28,1.2122918358
2023-03-01,1.2124586938
2023-03-02,1.213467727
2023-03-03,1.1672975623
2023-03-04,1.1547355055
2023-03-05,1.1234592018
2023-03-06,1.1274849616
2023-03-07,1.1502184734
2023-03-08,1.1662115143
2023-03-09,1.1085130328
2023-03-10,1.0636306652
2023-03-11,1.05875209
2023-03-12,1.1007687694
2023-03-13,1.1311778
2023-03-14,1.2238592612
2023-03-15,1.1753205145
2023-03-16,1.2035516693
2023-03-17,1.2444202747
2023-03-18,1.2668448054
2023-03-19,1.2605610107
2023-03-20,1.2963484848
2023-03-21,1.2483002141
2023-03-22,1.1899784767
2023-03-23,1.2136657558
2023-03-24,1.2560153433
2023-03-25,1.1812329188
2023-03-26,1.1702697197
2023-03-27,1.125951893
2023-03-28,1.11533223
2023-03-29,1.1626054229
2023-03-30,1.164488078
2023-03-31,1.1337254763
2023-04-01,1.157009712
2023-04-02,1.161566611
2023-04-03,1.1371827348
2023-04-04,1.1469808936
2023-04-05,1.2183964136
2023-04-06,1.2044263365
2023-04-07,1.1896739358
2023-04-08,1.1786484856
2023-04-09,1.1642866771
2023-04-10,1.131364817
2023-04-11,1.1400562279
2023-04-12,1.0889910376
2023-04-13,1.1172144173
2023-04-14,1.1774894563
2023-04-15,1.1746914538
2023-04-16,1.1741685679
2023-04-17,1.186907592
2023-04-18,1.1757836601
2023-04-19,1.0943853174
2023-04-20,1.1005893037
2023-04-21,1.1049509805
2023-04-22,1.0476351662
2023-04-23,1.096395637
2023-04-24,1.0817759054
2023-04-25,1.1014433216
2023-04-26,1.1170427856
2023-04-27,1.1616435675
2023-04-28,1.1894417158
2023-04-29,1.1947624443
2023-04-30,1.2030143049
2023-05-01,1.2031733639
2023-05-02,1.1372845546
2023-05-03,1.2335069926
2023-05-04,1.2457775167
2023-05-05,1.2444970449
2023-05-06,1.2243656372
2023-05-07,1.2047064154
2023-05-08,1.1513058664
2023-05-09,1.1742175585
2023-05-10,1.1378489034
2023-05-11,1.1633130363
2023-05-12,1.143661258
2023-05-13,1.1450064773
2023-05-14,1.1390047214
2023-05-15,1.1373068183
2023-05-16,1.1230587304
2023-05-17,1.1303359075
2023-05-18,1.1460830737
2023-05-19,1.1590394537
2023-05-20,1.1536420988
2023-05-21,1.1391165392
2023-05-22,1.1438314112
2023-05-23,1.177754281
2023-05-24,1.1400489526
2023-05-25,1.1336467183
2023-05-26,1.1110546299
2023-05-27,1.0878842944
2023-05-28,1.0990071019
2023-05-29,1.1542394636
2023-05-30,1.1220158765
