date,value
2020-09-01,39187.191
2020-09-02,37052.716
2020-09-03,30128.355
2020-09-04,31714.241
2020-09-05,32252.256
2020-09-06,33568.421
2020-09-07,34369.318
2020-09-08,35042.436
2020-09-09,34973.486
2020-09-10,34481.902
2020-09-11,34294.608
2020-09-12,34042.01
2020-09-13,34378.873
2020-09-14,33913.992
2020-09-15,34477.654
2020-09-16,36355.708
2020-09-17,34570.311
2020-09-18,34158.456
2020-09-19,36127.377
2020-09-20,36480.975
2020-09-21,37425.234
2020-09-22,37982.338
2020-09-23,40809.525
2020-09-24,37027.241
2020-09-25,36707.306
2020-09-26,37682.353
2020-09-27,37528.156
2020-09-28,33285.953
2020-09-29,35252.318
2020-09-30,35850.412
2020-10-01,35652.969
2020-10-02,37204.148
2020-10-03,37442.236
2020-10-04,37256.204
2020-10-05,39601.281
2020-10-06,37143.033
2020-10-07,37921.506
2020-10-08,38742.076
2020-10-09,39056.247
2020-10-10,38484.235
2020-10-11,39347.692
2020-10-12,37400.837
2020-10-13,37219.879
2020-10-14,36215.991
2020-10-15,36736.668
2020-10-16,37653.304
2020-10-17,36756.658
2020-10-18,38448.581
2020-10-19,41292.428
2020-10-20,45281.791
2020-10-21,44772.711
2020-10-22,46338.067
2020-10-23,46610.208
2020-10-24,48744.002
2020-10-25,44291.668
2020-10-26,44500.321
2020-10-27,47608.094
2020-10-28,42091.321
2020-10-29,45595.498
2020-10-30,47562.008
2020-10-31,49524.584
2020-11-01,49485.495
2020-11-02,47957.283
2020-11-03,49268.384
2020-11-04,49374.389
2020-11-05,46073.981
2020-11-06,44019.101
2020-11-07,39227.038
2020-11-08,41441.638
2020-11-09,39379.29
2020-11-10,39092.188
2020-11-11,41561.043
2020-11-12,42944.988
2020-11-13,42256.777
2020-11-14,41793.559
2020-11-15,42107.604
2020-11-16,43324.43
2020-11-17,42335.091
2020-11-18,39068.283
2020-11-19,40221.415
2020-11-20,39453.207
2020-11-21,42288.959
2020-11-22,41990.973
2020-11-23,39665.445
2020-11-24,44511.491
2020-11-25,44750.073
2020-11-26,35140.487
2020-11-27,35378.505
2020-11-28,35552.982
2020-11-29,35741.044
2020-11-30,38633.031
2020-12-01,34648.881
2020-12-02,35594.743
2020-12-03,38522.234
2020-12-04,38820.184
2020-12-05,38479.149
2020-12-06,40080.966
2020-12-07,39321.437
2020-12-08,39386.57
2020-12-09,38542.661
2020-12-10,38783.451
2020-12-11,38702.794
2020-12-12,39531.117
2020-12-13,39561.364
2020-12-14,40263.81
2020-12-15,42855.63
2020-12-16,42631.313
2020-12-17,35828.243
2020-12-18,37291.126
2020-12-19,40639.745
2020-12-20,39242.165
2020-12-21,35995.425
2020-12-22,37769.497
2020-12-23,31058.965
2020-12-24,34169.812
2020-12-25,36534.309
2020-12-26,35241.573
2020-12-27,32510.842
2020-12-28,33455.168
2020-12-29,35302.863
2020-12-30,34776.376
2020-12-31,34884.303
2021-01-01,36157.809
2021-01-02,34853.323
2021-01-03,33950.288
2021-01-04,30435.685
2021-01-05,30162.086
2021-01-06,28133.649
2021-01-07,30082.858
2021-01-08,27038.647
2021-01-09,30824.9
2021-01-10,30599.668
2021-01-11,26862.819
2021-01-12,23878.665
2021-01-13,28173.061
2021-01-14,27287.513
2021-01-15,28049.029
2021-01-16,27405.691
2021-01-17,26739.116
2021-01-18,27609.206
2021-01-19,28433.57
2021-01-20,29734.305
2021-01-21,29618.62
2021-01-22,26622.589
2021-01-23,26416.458
2021-01-24,27114.969
2021-01-25,27571.968
2021-01-26,27747.422
2021-01-27,28908.027
2021-01-28,30137.127
2021-01-29,29140.125
2021-01-30,30149.605
2021-01-31,31344.485
2021-02-01,29459.031
2021-02-02,29932.539
2021-02-03,29215.592
2021-02-04,28884.913
2021-02-05,29960.33
2021-02-06,34135.404
2021-02-07,31569.992
2021-02-08,35475.831
2021-02-09,33927.842
2021-02-10,32793.765
2021-02-11,35913.539
2021-02-12,35273.312
2021-02-13,33599.643
2021-02-14,37214.942
2021-02-15,34485.779
2021-02-16,34695.499
2021-02-17,37614.436
2021-02-18,35206.369
2021-02-19,35107.276
2021-02-20,33056.597
2021-02-21,33112.951
2021-02-22,28756.234
2021-02-23,25903.194
2021-02-24,27406.736
2021-02-25,28832.811
2021-02-26,27216.54
2021-02-27,27497.23
2021-02-28,29564.76
2021-03-01,28840.652
2021-03-02,28791.303
2021-03-03,28925.119
2021-03-04,29503.395
2021-03-05,29004.512
2021-03-06,28446.678
2021-03-07,29477.763
2021-03-08,33044.077
2021-03-09,32327.759
2021-03-10,32634.849
2021-03-11,34272.775
2021-03-12,32132.624
2021-03-13,35770.353
2021-03-14,36179.01
2021-03-15,34047.918
2021-03-16,33094.892
2021-03-17,31721.896
2021-03-18,32328.066
2021-03-19,32252.549
2021-03-20,32279.619
2021-03-21,32383.421
2021-03-22,33259.7
2021-03-23,34294.433
2021-03-24,32827.466
2021-03-25,34284.807
2021-03-26,32959.379
2021-03-27,32052.868
2021-03-28,31254.038
2021-03-29,32452.049
2021-03-30,34422.855
2021-03-31,34405.738
2021-04-01,33391.136
2021-04-02,34460.842
2021-04-03,34709.859
2021-04-04,33790.276
2021-04-05,33813.54
2021-04-06,33522.847
2021-04-07,34826.657
2021-04-08,33301.054
2021-04-09,32345.367
2021-04-10,33780.595
2021-04-11,34467.773
2021-04-12,35852.339
2021-04-13,38448.268
2021-04-14,36698.897
2021-04-15,36177.688
2021-04-16,34771.361
2021-04-17,35256.67
2021-04-18,28366.96
2021-04-19,27154.781
2021-04-20,28200.148
2021-04-21,28609.178
2021-04-22,31299.123
2021-04-23,32222.137
2021-04-24,33441.164
2021-04-25,32702.738
2021-04-26,28241.628
2021-04-27,27760.78
2021-04-28,28510.217
2021-04-29,30391.204
2021-04-30,31935.304
2021-05-01,32518.969
2021-05-02,33353.73
2021-05-03,34921.409
2021-05-04,33971.033
2021-05-05,31204.547
2021-05-06,33275.021
2021-05-07,31692.461
2021-05-08,33006.31
2021-05-09,31818.609
2021-05-10,32854.704
2021-05-11,32127.811
2021-05-12,35427.409
2021-05-13,34181.533
2021-05-14,33295.289
2021-05-15,36678.25
2021-05-16,36896.715
2021-05-17,42261.687
2021-05-18,42033.673
2021-05-19,24707.091
2021-05-20,24373.791
2021-05-21,26167.781
2021-05-22,27857.988
2021-05-23,30587.052
2021-05-24,30312.562
2021-05-25,31498.888
2021-05-26,32320.915
2021-05-27,31702.135
2021-05-28,37029.024
2021-05-29,38490.642
2021-05-30,37298.791
2021-05-31,37849.795
2021-06-01,37103.88
2021-06-02,39327.201
2021-06-03,43462.241
2021-06-04,41310.797
2021-06-05,42650.797
2021-06-06,44579.277
2021-06-07,48232.442
2021-06-08,46986.243
2021-06-09,52500.913
2021-06-10,46191.173
2021-06-11,47491.043
2021-06-12,47545.17
2021-06-13,50626.158
2021-06-14,49417.771
2021-06-15,49727.785
2021-06-16,52086.343
2021-06-17,53384.461
2021-06-18,50452.462
2021-06-19,52006.569
2021-06-20,54176.087
2021-06-21,50910.995
2021-06-22,51636.453
2021-06-23,52248.414
2021-06-24,55591.856
2021-06-25,53147.078
2021-06-26,55593.304
2021-06-27,55749.044
2021-06-28,55043.323
2021-06-29,56500.336
2021-06-30,55146.229
2021-07-01,56270.365
2021-07-02,57000.835
2021-07-03,59249.922
2021-07-04,59805.571
2021-07-05,59367.556
2021-07-06,57535.288
2021-07-07,58263.045
2021-07-08,62304.505
2021-07-09,61809.982
2021-07-10,60570.71
2021-07-11,62905.24
2021-07-12,60265.949
2021-07-13,62665.864
2021-07-14,59397.259
2021-07-15,64961.59
2021-07-16,62423.198
2021-07-17,66109.828
2021-07-18,64421.011
2021-07-19,72098.109
2021-07-20,70273.631
2021-07-21,68788.016
2021-07-22,67560.439
2021-07-23,68685.657
2021-07-24,68516.144
2021-07-25,72472.289
2021-07-26,53880.819
2021-07-27,55933.712
2021-07-28,55313.141
2021-07-29,56598.382
2021-07-30,53809.289
2021-07-31,54531.105
2021-08-01,49768.647
2021-08-02,53593.146
2021-08-03,57090.902
2021-08-04,55130.762
2021-08-05,54700.83
2021-08-06,55461.635
2021-08-07,53901.031
2021-08-08,52452.837
2021-08-09,56470.001
2021-08-10,54929.888
2021-08-11,56274.515
2021-08-12,56357.99
2021-08-13,55505.402
2021-08-14,55423.315
2021-08-15,53365.659
2021-08-16,56842.595
2021-08-17,57238.991
2021-08-18,54905.06
2021-08-19,54999.089
2021-08-20,58048.686
2021-08-21,58475.164
2021-08-22,57090.304
2021-08-23,60581.45
2021-08-24,63279.999
2021-08-25,59787.634
2021-08-26,60733.625
2021-08-27,58436.419
2021-08-28,59845.309
2021-08-29,57519.189
2021-08-30,59124.547
2021-08-31,60723.254
2021-09-01,59340.854
2021-09-02,64020.434
2021-09-03,61500.86
2021-09-04,57290.927
2021-09-05,62498.976
2021-09-06,61989.156
2021-09-07,43780.702
2021-09-08,45764.388
2021-09-09,45346.761
