date,value
2021-12-01,353363.369
2021-12-02,348572.272
2021-12-03,335977.238
2021-12-04,289072.539
2021-12-05,266118.924
2021-12-06,272000.791
2021-12-07,273947.475
2021-12-08,283032.896
2021-12-09,289989.65
2021-12-10,288084.551
2021-12-11,285803.808
2021-12-12,298823.767
2021-12-13,307292.558
2021-12-14,298607.333
2021-12-15,309784.02
2021-12-16,320551.309
2021-12-17,302258.218
2021-12-18,309883.726
2021-12-19,311444.966
2021-12-20,319684.573
2021-12-21,333119.092
2021-12-22,323277.322
2021-12-23,376558.52
2021-12-24,410056.253
2021-12-25,445583.605
2021-12-26,437704.37
2021-12-27,448067.012
2021-12-28,476109.779
2021-12-29,476487.06
2021-12-30,464957.728
2021-12-31,476569.706
2022-01-01,470048.454
2022-01-02,468997.343
2022-01-03,475569.797
2022-01-04,474780.66
2022-01-05,477274.257
2022-01-06,481235.957
2022-01-07,480092.286
2022-01-08,478486.871
2022-01-09,474298.826
2022-01-10,471344.879
2022-01-11,465334.322
2022-01-12,455282.37
2022-01-13,447373.849
2022-01-14,443571.317
2022-01-15,459828.272
2022-01-16,450180.911
2022-01-17,460106.775
2022-01-18,467474.85
2022-01-19,463892.394
2022-01-20,457802.78
2022-01-21,457428.97
2022-01-22,466041.942
2022-01-23,483134.625
2022-01-24,475409.773
2022-01-25,467088.857
2022-01-26,470362.03
2022-01-27,473557.178
2022-01-28,496457.698
2022-01-29,504724.96
2022-01-30,517909.358
2022-01-31,530482.589
2022-02-01,528579.875
2022-02-02,512936.431
2022-02-03,518718.059
2022-02-04,553112.203
2022-02-05,543970.615
2022-02-06,540197.512
2022-02-07,519454.402
2022-02-08,488285.478
2022-02-09,505212.069
2022-02-10,485398.948
2022-02-11,478980.239
2022-02-12,478201.832
2022-02-13,478827.921
2022-02-14,486806.149
2022-02-15,498473.831
2022-02-16,482200.639
2022-02-17,488228.23
2022-02-18,484633.831
2022-02-19,472755.85
2022-02-20,483317.571
2022-02-21,488393.924
2022-02-22,491728.022
2022-02-23,508438.003
2022-02-24,468386.952
2022-02-25,485486.013
2022-02-26,489194.836
2022-02-27,478480.771
2022-02-28,486633.8
2022-03-01,508054.741
2022-03-02,510273.281
2022-03-03,526448.817
2022-03-04,509878.424
2022-03-05,504853.814
2022-03-06,509765.431
2022-03-07,0.0
2022-03-08,502302.473
2022-03-09,492818.725
2022-03-10,489803.274
2022-03-11,498118.35
2022-03-12,500018.211
2022-03-13,512912.899
2022-03-14,502549.139
2022-03-15,516437.189
2022-03-16,524475.888
2022-03-17,534913.963
2022-03-18,548323.341
2022-03-19,539327.535
2022-03-20,523472.549
2022-03-21,537140.529
2022-03-22,565207.368
2022-03-23,534328.743
2022-03-24,583107.74
2022-03-25,560671.42
2022-03-26,565851.106
2022-03-27,577799.443
2022-03-28,543971.664
2022-03-29,527228.724
2022-03-30,522149.687
2022-03-31,512347.128
2022-04-01,517616.864
2022-04-02,516238.131
2022-04-03,544567.457
2022-04-04,524396.901
2022-04-05,525184.803
2022-04-06,493985.829
2022-04-07,490368.867
2022-04-08,511721.801
2022-04-09,506047.503
2022-04-10,509675.916
2022-04-11,493297.404
2022-04-12,488960.605
2022-04-13,499726.49
2022-04-14,506536.3
2022-04-15,503848.007
2022-04-16,506697.482
2022-04-17,502990.975
2022-04-18,492100.97
2022-04-19,503855.29
2022-04-20,482311.576
2022-04-21,502040.454
2022-04-22,521257.732
2022-04-23,521496.28
2022-04-24,526027.619
2022-04-25,510351.41
2022-04-26,526076.901
2022-04-27,512730.028
2022-04-28,500370.324
2022-04-29,516003.822
2022-04-30,524056.477
2022-05-01,512910.166
2022-05-02,505589.077
2022-05-03,509669.046
2022-05-04,499277.703
2022-05-05,517996.442
2022-05-06,520477.236
2022-05-07,524527.544
2022-05-08,534524.383
2022-05-09,515851.195
2022-05-10,489678.465
2022-05-11,489419.722
2022-05-12,471041.151
2022-05-13,462122.382
2022-05-14,463356.304
2022-05-15,465407.8
2022-05-16,451733.203
2022-05-17,472304.971
2022-05-18,484259.135
2022-05-19,488895.345
2022-05-20,469428.956
2022-05-21,459011.56
2022-05-22,476779.113
2022-05-23,468653.279
2022-05-24,491959.111
2022-05-25,488349.52
2022-05-26,509498.488
2022-05-27,545574.461
2022-05-28,563666.626
2022-05-29,556197.94
2022-05-30,554011.243
2022-05-31,542374.15
2022-06-01,529850.381
2022-06-02,562671.359
2022-06-03,578612.736
2022-06-04,573541.479
2022-06-05,580402.609
2022-06-06,558300.837
2022-06-07,538157.476
2022-06-08,556689.233
2022-06-09,569390.206
2022-06-10,685565.636
2022-06-11,723629.94
2022-06-12,703365.808
2022-06-13,749758.101
2022-06-14,763416.42
2022-06-15,745762.415
2022-06-16,811542.769
2022-06-17,809484.619
2022-06-18,918689.159
2022-06-19,869457.986
2022-06-20,815400.071
2022-06-21,845726.863
2022-06-22,832063.609
2022-06-23,878662.306
2022-06-24,912047.29
2022-06-25,942733.104
2022-06-26,892603.465
2022-06-27,880592.935
2022-06-28,881447.07
2022-06-29,872243.111
2022-06-30,870560.151
2022-07-01,849250.306
2022-07-02,853316.12
2022-07-03,918583.938
2022-07-04,934524.266
2022-07-05,897856.46
2022-07-06,970144.046
2022-07-07,976833.38
2022-07-08,911725.875
2022-07-09,889355.528
2022-07-10,892132.648
