date,value
2020-09-01,0.61414611
2020-09-02,0.71567909
2020-09-03,1.608721
2020-09-04,0.98424744
2020-09-05,0.78519675
2020-09-06,0.76488814
2020-09-07,0.63066289
2020-09-08,1.10391826
2020-09-09,0.47470784
2020-09-10,1.09784416
2020-09-11,0.88617495
2020-09-12,0.95737387
2020-09-13,2.21581584
2020-09-14,1.7108997
2020-09-15,3.33733474
2020-09-16,0.77447857
2020-09-17,1.7339219
2020-09-18,0.53970424
2020-09-19,1.30103918
2020-09-20,0.83973861
2020-09-21,0.83815988
2020-09-22,1.28237333
2020-09-23,1.04899153
2020-09-24,1.35317491
2020-09-25,1.99799461
2020-09-26,4.99588925
2020-09-27,1.19923968
2020-09-28,2.6337253
2020-09-29,0.95763688
2020-09-30,0.53267518
2020-10-01,1.81845185
2020-10-02,1.38457309
2020-10-03,1.74868217
2020-10-04,1.05651997
2020-10-05,1.50500776
2020-10-06,2.94825632
2020-10-07,0.53203445
2020-10-08,2.86784275
2020-10-09,1.15518155
2020-10-10,0.90851621
2020-10-11,0.58493979
2020-10-12,1.32078674
2020-10-13,0.5958938
2020-10-14,4.37533164
2020-10-15,1.02171304
2020-10-16,1.04204477
2020-10-17,1.71447698
2020-10-18,1.5779696
2020-10-19,5.01316893
2020-10-20,1.47565998
2020-10-21,0.99217625
2020-10-22,0.56521916
2020-10-23,0.56413533
2020-10-24,0.73441802
2020-10-25,0.91110608
2020-10-26,2.94831198
2020-10-27,0.50496688
2020-10-28,0.6550506
2020-10-29,0.75406948
2020-10-30,0.87889554
2020-10-31,0.54386263
2020-11-01,2.87468358
2020-11-02,0.54712579
2020-11-03,0.82062672
2020-11-04,2.32017281
2020-11-05,0.83589322
2020-11-06,0.59169354
2020-11-07,0.65824655
2020-11-08,0.49074196
2020-11-09,1.26894448
2020-11-10,0.43471026
2020-11-11,0.50406744
2020-11-12,0.83670112
2020-11-13,0.84465733
2020-11-14,1.51215575
2020-11-15,0.48879045
2020-11-16,2.0616573
2020-11-17,0.75808067
2020-11-18,0.61129436
