date,value
2021-12-01,1.3666687348
2021-12-02,0.5710310645
2021-12-03,0.982676261
2021-12-04,1.9565943442
2021-12-05,1.0616131287
2021-12-06,1.0502156702
2021-12-07,1.2579492283
2021-12-08,2.3737302568
2021-12-09,0.3148170081
2021-12-10,0.6929423743
2021-12-11,1.0382355174
2021-12-12,1.1312814172
2021-12-13,1.7658783924
2021-12-14,1.5724367016
2021-12-15,1.3667441537
2021-12-16,0.9233961155
2021-12-17,1.1873315275
2021-12-18,0.5189884104
2021-12-19,0.9269979267
2021-12-20,0.524374532
2021-12-21,0.5021815842
2021-12-22,0.8431942559
2021-12-23,2.4928714167
2021-12-24,1.2536090883
2021-12-25,1.035480143
2021-12-26,1.4544060774
2021-12-27,0.4236461533
2021-12-28,0.4337138129
2021-12-29,0.8494468819
2022-01-30,1.31367486
2022-05-09,1.3230834456
2022-05-11,1.0022453861
2022-05-12,0.8747237127
2022-05-13,1.1174493971
2022-05-14,0.9513289876
2022-05-15,0.503718061
2022-05-16,0.8105602358
2022-05-17,0.4934093804
2022-05-18,0.9667587253
2022-05-19,0.7785857521
2022-05-20,1.8494888388
2022-05-21,0.4083918934
2022-05-22,0.977890271
2022-05-23,0.8977848372
2022-05-24,2.4321026919
2022-05-25,0.6791719845
2022-05-26,1.0565217605
2022-05-27,0.827296938
2022-05-28,0.6688963558
2022-05-29,0.68896084
2022-05-30,1.0223936934
2022-05-31,0.913791526
2022-06-01,0.6783289918
2022-06-02,0.6787499418
2022-06-03,2.7142344047
2022-06-04,1.9478658421
2022-06-05,0.7986041089
2022-06-06,0.8041728704
2022-06-07,0.6864841709
2022-06-08,1.3864458677
2022-06-09,0.7349903296
2022-06-10,1.7147430167
2022-06-11,0.8083524217
2022-06-12,0.8666708017
2022-06-13,0.9893831235
2022-06-14,1.0632041611
2022-06-15,0.8688985833
2022-06-16,1.3813364099
2022-06-17,0.4441051792
2022-06-18,1.144625876
2022-06-19,1.8422091998
2022-06-20,0.994216854
2022-06-21,0.9914250292
2022-06-22,1.1124697219
2022-06-23,0.9751229862
2022-06-24,0.7710435999
2022-06-25,1.2984298517
2022-06-26,0.7567688056
2022-06-27,0.8171736657
2022-06-28,0.9720008612
2022-06-29,1.0425796233
2022-06-30,1.5058342966
2022-07-01,0.4619880971
2022-07-02,0.6183735693
2022-07-03,1.4467579801
2022-07-04,0.8534555613
2022-07-05,0.7832676719
2022-07-06,0.9041841381
2022-07-07,0.8584860463
2022-07-08,0.7923189976
2022-07-09,1.4877905996
2022-07-10,0.6082651799
2022-07-11,0.8335803115
2022-07-12,0.7794705243
2022-07-13,1.5733509648
2022-07-14,0.6891661198
2022-07-15,0.7736807499
2022-07-16,0.7966861828
2022-07-17,0.4267369838
2022-07-18,1.0242707444
2022-07-19,1.2497553483
2022-07-20,0.8092426705
2022-07-21,1.2472684813
2022-07-22,1.2412839713
2022-07-23,1.3252797316
2022-07-24,0.9527049398
2022-07-25,1.0238707117
2022-07-26,1.1755476517
2022-07-27,1.1921126968
2022-07-28,1.1709037573
2022-07-29,0.4325493719
2022-07-30,1.1479061542
2022-07-31,0.7569479813
2022-08-01,1.4833072329
2022-08-02,0.8601737991
2022-08-03,1.5607769413
2022-08-04,0.6629917775
2022-08-05,1.8491348196
2022-08-06,0.6751400056
2022-08-07,0.6688411018
2022-08-08,0.951928874
2022-08-09,0.8202464008
2022-08-10,1.2599325457
2022-08-11,0.7280626695
2022-08-12,1.7724782744
2022-08-13,0.8150547106
2022-08-14,1.0987329562
2022-08-15,1.0777453582
2022-08-16,1.5074656975
2022-08-17,0.8139135126
2022-08-18,0.8729073911
2022-08-19,1.0955801534
2022-08-20,1.0253576828
2022-08-21,1.3187530933
2022-08-22,1.503277498
2022-08-23,0.8061267987
2022-08-24,1.5803888692
2022-08-25,0.9833377465
2022-08-26,1.2423856552
2022-08-27,0.8896500553
2022-08-28,1.0093328561
2022-08-29,1.0600487307
2022-08-30,0.6285332359
2022-08-31,0.9463925345
2022-09-01,1.0266619754
2022-09-02,0.5359135543
2022-09-03,1.4960434287
2022-09-04,1.1605113912
2022-09-05,0.6892535395
2022-09-06,0.7077664036
2022-09-07,0.500246753
2022-09-08,1.4649532054
2022-09-09,1.4736992813
2022-09-10,1.1103448536
2022-09-11,0.8027325666
2022-09-12,3.305117707
2022-09-13,0.923507438
2022-09-14,1.4545414097
2022-09-15,0.6274608593
2022-09-16,0.8240822228
2022-09-17,0.7292530153
2022-09-18,0.7284935334
2022-09-19,0.71273786
2022-09-20,1.0386627
2022-09-21,0.61532541
2022-09-22,1.4299458986
2022-09-23,0.4128184022
2022-09-24,1.1663180672
2022-09-25,1.3711109857
2022-09-26,1.8187686515
2022-09-27,0.4773835475
2022-09-28,0.6656626752
2022-09-29,1.3375361612
2022-09-30,0.7697496739
2022-10-01,0.787732548
2022-10-02,0.6895007611
2022-10-03,1.1572772947
2022-10-04,0.4205360107
2022-10-05,1.3501520235
2022-10-06,1.0600609395
2022-10-07,0.6208406627
2022-10-08,0.6901385961
2022-10-09,1.1006587281
2022-10-10,0.9235400346
2022-10-11,0.9289637686
2022-10-12,1.5079107325
2022-10-13,0.8287251538
2022-10-14,0.6972215436
2022-10-15,0.6082976394
2022-10-16,0.7770207776
2022-10-17,0.5279663525
2022-10-18,1.3970131376
2022-10-19,1.9063754783
2022-10-20,1.3122294234
2022-10-21,1.8735528095
2022-10-22,1.3005275796
2022-10-23,1.0134428987
2022-10-24,1.7172237083
2022-10-25,1.0312319059
2022-10-26,0.455153013
2022-10-27,0.4636176761
2022-10-28,0.9991885138
2022-10-29,1.3332001643
2022-10-30,1.72515991
2022-10-31,0.6307552905
2022-11-01,0.4190123587
2022-11-02,0.3162306844
2022-11-03,0.9626033277
2022-11-04,0.7685595684
2022-11-05,0.7699406003
2022-11-06,0.9146071945
2022-11-07,0.6917111875
2022-11-08,1.0563922605
2022-11-09,0.8347931217
2022-11-10,1.6591472574
2022-11-11,1.2996312182
2022-11-12,1.4792376657
2022-11-13,0.9453863609
2022-11-14,0.6057151246
2022-11-15,0.8025776141
2022-11-16,1.827047193
2022-11-17,0.9684332251
2022-11-18,1.3205066288
2022-11-19,1.2858462895
2022-11-20,1.6500115317
2022-11-21,1.1427570832
2022-11-22,0.8036954562
2022-11-23,0.6872001988
2022-11-24,1.5056184901
2022-11-25,0.8001348973
2022-11-26,1.5825366022
2022-11-27,0.6153499539
2022-11-28,0.9326083538
2022-11-29,1.0721831763
2022-11-30,0.8912272679
2022-12-01,1.0396857919
2022-12-02,2.5143736968
2022-12-03,0.9000865974
2022-12-04,0.6433189476
2022-12-05,0.7573204134
2022-12-06,1.2235013361
2022-12-07,0.4355107429
2022-12-08,1.8432416668
2022-12-09,1.0208955375
2022-12-10,1.4046648421
2022-12-11,1.2984287959
2022-12-12,1.5676877786
2022-12-13,1.3536426064
2022-12-14,2.0790244776
2022-12-15,0.7665130898
2022-12-16,0.8565431873
2022-12-17,0.8107007089
2022-12-18,0.5835662649
2022-12-19,0.7552914538
2022-12-20,1.3953644748
2022-12-21,1.0601603228
2022-12-22,0.9072876322
2022-12-23,1.9561345406
2022-12-24,0.9182076915
2022-12-25,1.2190502674
2022-12-26,1.6652298345
2022-12-27,1.4325038558
2022-12-28,1.740904791
2022-12-29,1.661997621
2022-12-30,1.1237575885
2022-12-31,1.0002336312
2023-01-01,1.0738996187
2023-01-02,1.3101690106
2023-01-03,0.7280169979
2023-01-04,2.2475821374
2023-01-05,0.6889058337
2023-01-06,0.7568642408
2023-01-07,3.0094051299
2023-01-08,1.2073284933
2023-01-09,1.5735022778
2023-01-10,1.2276548161
2023-01-11,1.1065451379
2023-01-12,0.7860910745
2023-01-13,1.1446076514
2023-01-14,0.8105528144
2023-01-15,1.2927414779
2023-01-16,0.7677461523
2023-01-17,1.1635507813
2023-01-18,0.7287742041
2023-01-19,1.6649475158
2023-01-20,1.2288640819
2023-01-21,1.1318711861
2023-01-22,1.0765875051
2023-01-23,2.7811595008
2023-01-24,0.8609217437
2023-01-25,0.8515959203
2023-01-26,1.0644244415
2023-01-27,0.5494324177
2023-01-28,0.8048647217
2023-01-29,1.7724646999
2023-01-30,1.584036635
2023-01-31,1.7141479869
2023-02-01,2.3187135619
2023-02-02,1.1152581958
2023-02-03,0.9683941711
2023-02-04,1.2342607088
2023-02-05,1.1772076093
2023-02-06,0.4909027887
2023-02-07,0.8859296552
2023-02-08,1.3755950996
2023-02-09,0.9226515642
2023-02-10,1.7700012998
2023-02-11,1.2928511573
2023-02-12,1.1819589616
2023-02-13,1.4596296621
2023-02-14,0.6255213729
2023-02-15,0.9965013543
2023-02-16,0.7674778836
2023-02-17,0.8531908816
2023-02-18,4.2231383183
2023-02-19,0.5680096918
2023-02-20,1.008970194
2023-02-21,1.1532744096
2023-02-22,0.9075857323
2023-02-23,1.7872673907
2023-02-24,3.0783994152
2023-02-25,0.8344934858
2023-02-26,0.5535390621
2023-02-27,1.1468915342
2023-02-28,0.7253601262
2023-03-01,0.8384216343
2023-03-02,0.9465076791
2023-03-03,0.7714365619
2023-03-04,1.0994962015
2023-03-05,1.9537731941
2023-03-06,0.4526157514
2023-03-07,1.0423694683
2023-03-08,0.3664421509
2023-03-09,1.9811436159
