date,value
2021-03-24,106.73
2021-03-25,105.39
2021-03-26,90.27
2021-03-27,87.46
2021-03-28,84.22
2021-03-29,88.24
2021-03-30,89.19
2021-03-31,93.88
2021-04-01,89.09
2021-04-02,94.81
2021-04-03,95.17
2021-04-04,93.72
2021-04-05,91.94
2021-04-06,92.31
2021-04-07,88.32
2021-04-08,86.21
2021-04-09,84.58
2021-04-10,90.53
2021-04-11,93.35
2021-04-12,96.81
2021-04-13,102.2
2021-04-14,94.57
2021-04-15,89.72
2021-04-16,85.47
2021-04-17,83.47
2021-04-18,97.12
2021-04-19,93.87
2021-04-20,94.36
2021-04-21,92.71
2021-04-22,91.92
2021-04-23,94.38
2021-04-24,100.44
2021-04-25,101.64
2021-04-26,91.39
2021-04-27,92.29
2021-04-28,88.95
2021-04-29,94.2
2021-04-30,95.97
2021-05-01,98.0
2021-05-02,95.95
2021-05-03,111.48
2021-05-04,116.77
2021-05-05,117.82
2021-05-06,115.85
2021-05-07,109.35
2021-05-08,113.49
2021-05-09,115.12
2021-05-10,124.28
2021-05-11,127.51
2021-05-12,132.93
2021-05-13,124.53
2021-05-14,125.3
2021-05-15,128.69
2021-05-16,129.27
2021-05-17,131.11
2021-05-18,129.27
2021-05-19,158.27
2021-05-20,181.68
2021-05-21,185.12
2021-05-22,186.76
2021-05-23,193.34
2021-05-24,165.51
2021-05-25,167.01
2021-05-26,162.34
2021-05-27,161.07
2021-05-28,170.2
2021-05-29,173.12
2021-05-30,156.16
2021-05-31,148.59
2021-06-01,149.88
2021-06-02,145.1
2021-06-03,140.76
2021-06-04,138.64
2021-06-05,140.87
2021-06-06,138.32
2021-06-07,138.24
2021-06-08,141.21
2021-06-09,133.27
2021-06-10,125.64
2021-06-11,122.64
2021-06-12,122.26
2021-06-13,123.11
2021-06-14,119.31
2021-06-15,110.35
2021-06-16,109.16
2021-06-17,106.66
2021-06-18,108.92
2021-06-19,103.76
2021-06-20,106.78
2021-06-21,124.43
2021-06-22,123.72
2021-06-23,118.16
2021-06-24,116.28
2021-06-25,118.58
2021-06-26,119.49
2021-06-27,117.59
2021-06-28,114.07
2021-06-29,109.67
2021-06-30,114.41
2021-07-01,113.77
2021-07-02,108.95
2021-07-03,107.32
2021-07-04,104.96
2021-07-05,102.79
2021-07-06,106.33
2021-07-07,105.5
2021-07-08,107.88
2021-07-09,103.92
2021-07-10,104.72
2021-07-11,103.6
2021-07-12,103.41
2021-07-13,105.3
2021-07-14,101.34
2021-07-15,101.7
2021-07-16,100.98
2021-07-17,100.89
2021-07-18,101.43
2021-07-19,106.48
2021-07-20,108.45
2021-07-21,108.34
2021-07-22,105.24
2021-07-23,101.97
2021-07-24,102.41
2021-07-25,103.05
2021-07-26,105.35
2021-07-27,108.34
2021-07-28,107.3
2021-07-29,106.81
2021-07-30,103.84
2021-07-31,102.22
2021-08-01,103.95
2021-08-02,102.98
