date,value
2026-08-13,3340943.2184545803
2026-08-14,3342267.5212648003
2026-08-15,3342229.8499446204
2026-08-16,3342637.6207945403
2026-08-17,3343726.8827488
2026-08-18,3338786.7167994394
2026-08-19,3335790.25177984
2026-08-20,3329992.1054188292
2026-08-21,3328447.04840628
2026-08-22,3335832.93273236
2026-08-23,3336556.4436782603
2026-08-24,3333659.3672051406
2026-08-25,3330635.0918593598
2026-08-26,3321098.3453845093
2026-08-27,3319416.9452223396
2026-08-28,3316062.2877116394
2026-08-29,3315587.7312127105
2026-08-30,3316017.7227133005
2026-08-31,3313350.04572945
2026-09-01,3312404.77242302
2026-09-02,3316769.2978232494
2026-09-03,3321526.17644074
2026-09-04,3313073.7398551907
2026-09-05,3312459.7596473196
2026-09-06,3311813.81592205
2026-09-07,3312259.353477101
2026-09-08,3312649.90751155
2026-09-09,3314421.89956205
2026-09-10,3317241.8375547407
2026-09-11,3318725.1353652105
2026-09-12,3319438.2146434407
2026-09-13,3319348.30280587
2026-09-14,3321579.444269472
2026-09-15,3321862.40601049
2026-09-16,3319713.47075519
2026-09-17,3325202.557347869
2026-09-18,3328830.73442671
2026-09-19,3327632.7664379696
