date,value
2026-08-13,3336390.3003243203
2026-08-14,3335881.9315416897
2026-08-15,3337420.3482815297
2026-08-16,3337523.7344813403
2026-08-17,3335667.16179126
2026-08-18,3330114.7222851003
2026-08-19,3333342.5358205205
2026-08-20,3327441.4767636503
2026-08-21,3319721.2112049605
2026-08-22,3325757.345354949
2026-08-23,3330772.00075694
2026-08-24,3326481.51056096
2026-08-25,3323316.17324917
2026-08-26,3314378.1645161104
2026-08-27,3310717.4322813097
2026-08-28,3307437.8681042097
2026-08-29,3307896.1023625005
2026-08-30,3308397.6605291804
2026-08-31,3304294.95513373
2026-09-01,3309046.7121824003
2026-09-02,3315012.74051989
2026-09-03,3314930.96751138
2026-09-04,3305362.3539558207
2026-09-05,3307574.18450291
2026-09-06,3302268.95843727
2026-09-07,3306143.24474761
2026-09-08,3302572.91287131
2026-09-09,3309842.95158049
2026-09-10,3303898.17104931
2026-09-11,3312248.2552178195
