date,value
2026-08-13,16197156.584984891
2026-08-14,16169882.330899037
2026-08-15,16176421.197516482
2026-08-16,16168846.846260943
2026-08-17,16154800.96520355
2026-08-18,16139501.025394471
2026-08-19,16149212.001540562
2026-08-20,16064256.412665289
2026-08-21,15984711.330554232
2026-08-22,15974035.76344709
2026-08-23,15987815.878983825
2026-08-24,15932983.425146228
2026-08-25,15932549.905852195
2026-08-26,15843040.78380365
2026-08-27,15797245.308044111
2026-08-28,15685758.429394064
2026-08-29,15693495.822910639
2026-08-30,15708041.4977561
2026-08-31,15703346.51559725
2026-09-01,15705605.344681123
2026-09-02,15746868.86812037
2026-09-03,15764451.484930534
2026-09-04,15671900.604799155
2026-09-05,15648066.309975686
2026-09-06,15628500.968133174
2026-09-07,15636823.552439429
2026-09-08,15628589.410394289
2026-09-09,15639441.43051459
2026-09-10,15614774.573388938
2026-09-11,15625006.343012817
