date,value
2026-08-13,16197384.100501351
2026-08-14,16169892.618100392
2026-08-15,16176421.197516482
2026-08-16,16168852.75746741
2026-08-17,16154818.244045986
2026-08-18,16139500.53177509
2026-08-19,16149190.543385986
2026-08-20,16064201.90839747
2026-08-21,15984722.843923835
2026-08-22,15974055.045662126
2026-08-23,15987811.30760524
2026-08-24,15933315.311541757
2026-08-25,15932518.482617212
2026-08-26,15843131.526011491
2026-08-27,15797236.546183646
2026-08-28,15685786.630197193
2026-08-29,15693513.068241961
2026-08-30,15708073.81332972
2026-08-31,15703340.42276086
2026-09-01,15705605.919251053
2026-09-02,15746864.77542038
2026-09-03,15764525.055920238
2026-09-04,15671900.604799155
2026-09-05,15648129.569921166
2026-09-06,15628896.597690824
2026-09-07,15636831.089661473
2026-09-08,15628589.018045312
2026-09-09,15639499.127979502
2026-09-10,15614849.311433788
2026-09-11,15625083.268595655
