date,value
2026-08-13,-1733.641993846788
2026-08-14,-2998.4219846625674
2026-08-15,-97.53412306451537
2026-08-16,-267.8846337713767
2026-08-17,-2413.5174351411733
2026-08-18,-6630.3939133329695
2026-08-19,-1804.9044727351938
2026-08-20,-7269.238575605232
2026-08-21,-8577.390186297074
2026-08-22,4480.903135236073
2026-08-23,-2867.1088701616773
2026-08-24,-7459.99746613171
2026-08-25,-4767.204494256759
2026-08-26,-9518.649867446933
2026-08-27,-4761.922547786286
2026-08-28,-4932.242484123359
2026-08-29,-3051.3713577052713
2026-08-30,-2668.381482038976
2026-08-31,-5544.136662799781
2026-09-01,-3698.513314414784
2026-09-02,5188.707679775522
2026-09-03,-541.8682888677067
2026-09-04,-10638.97170486422
2026-09-05,-1024.391382636546
2026-09-06,-5578.509746147507
2026-09-07,-650.3437344348858
2026-09-08,-4353.857581232805
2026-09-09,-2297.9441460190574
2026-09-10,-6581.983056381814
2026-09-11,993.4210430031053
