date,value
2026-08-13,-43170.528232759
2026-08-14,-31246.258008327
2026-08-15,4769.019139904
2026-08-16,-7973.630783625
2026-08-17,-16242.924397596
2026-08-18,-16373.767697911
2026-08-19,7164.875936466
2026-08-20,-101332.246761197
2026-08-21,-85903.768878361
2026-08-22,-11965.096875287
2026-08-23,13560.164795988
2026-08-24,-54578.470842593
2026-08-25,-19089.26814221
2026-08-26,-86924.564205616
2026-08-27,-40086.884314024
2026-08-28,-129109.361674879
2026-08-29,3175.481399526
2026-08-30,11642.523500907
2026-08-31,-19831.91994723
2026-09-01,2143.850747608
2026-09-02,36754.566103652
2026-09-03,5877.365598354
2026-09-04,-87567.96021272
2026-09-05,-28765.276439783
2026-09-06,-18184.12837915
2026-09-07,3221.759710589
2026-09-08,-26726.644871771
2026-09-09,3638.467980071
2026-09-10,-45079.818304702
2026-09-11,37501.952641059
2026-09-12,-37542.560695826
2026-09-13,-14394.078280961
2026-09-14,-86359.870241343
2026-09-15,-149805.943405757
2026-09-16,91610.619464704
2026-09-17,13646.503308956
2026-09-18,137822.214915513
2026-09-19,-5206.699196469
2026-09-20,-35914.364477125
2026-09-21,-49007.793092099
2026-09-22,-50942.301269069
2026-09-23,-114223.106360974
