date,value
2026-08-24,-13018.924021648243
2026-08-25,-16171.969672754407
2026-08-26,-16159.660344745964
2026-08-27,-17573.68182442058
2026-08-28,-20181.966768618673
2026-08-29,-18606.28856736049
2026-08-30,-6137.789160198532
2026-08-31,2044.4917753282934
2026-09-01,4709.858872660436
2026-09-02,8414.853763614781
2026-09-03,11974.956753859296
2026-09-04,14026.310601178557
2026-09-05,15381.46645965334
2026-09-06,16612.121822840534
2026-09-07,16358.172103078105
2026-09-08,15796.542869479395
2026-09-09,16003.519749849103
2026-09-10,15924.17330713477
2026-09-11,18490.870360954665
2026-09-12,20006.400871519
2026-09-13,20843.39014352113
2026-09-14,20087.298549802043
2026-09-15,20124.866466535255
2026-09-16,18231.66361437831
2026-09-17,16823.3913433142
2026-09-18,19228.27505400777
2026-09-19,21830.40005867835
2026-09-20,25734.887676978484
2026-09-21,25509.143360942602
2026-09-22,19271.80722842086
2026-09-23,18058.645927158184
2026-09-24,19131.85262029711
