date,value
2026-08-24,-13016.89681799803
2026-08-25,-16171.989964148961
2026-08-26,-16178.968658476137
2026-08-27,-17476.97291666642
2026-08-28,-20131.09362053033
2026-08-29,-18710.369250267744
2026-08-30,-6921.213895457797
2026-08-31,2044.4917753282934
2026-09-01,4690.458656476811
2026-09-02,8429.71190948505
2026-09-03,11955.602156014182
2026-09-04,13946.906706108712
2026-09-05,15342.053264748305
2026-09-06,16592.819497676566
2026-09-07,16352.169707402587
2026-09-08,15806.195685921237
2026-09-09,16030.028453427367
2026-09-10,15946.932462222874
2026-09-11,18474.60832720995
2026-09-12,19987.09074758552
2026-09-13,20880.724132384174
2026-09-14,20115.35471366532
2026-09-15,20121.042425471358
2026-09-16,18261.97816737462
2026-09-17,16856.69716087822
2026-09-18,19210.45138806943
2026-09-19,21827.71187847946
2026-09-20,25716.796433739364
2026-09-21,25492.084580407478
2026-09-22,19258.214327381924
2026-09-23,18042.316984049976
