date,value
2026-08-24,553404.8677060977
2026-08-25,555617.6489100531
2026-08-26,555180.0212831125
2026-08-27,535083.4993115962
2026-08-28,525132.4747178555
2026-08-29,520971.0804577619
2026-08-30,532776.2213450521
2026-08-31,517763.1434916258
2026-09-01,509237.46016944945
2026-09-02,509956.06829090416
2026-09-03,502827.5425458774
2026-09-04,503105.77246649563
2026-09-05,506517.4305326268
2026-09-06,526016.5785701647
2026-09-07,516923.02221404016
2026-09-08,508336.9618553594
2026-09-09,506646.5669538826
2026-09-10,498382.8828684166
2026-09-11,491065.0026216209
2026-09-12,493305.894312948
2026-09-13,495690.9396879971
2026-09-14,490208.5136836767
2026-09-15,471917.36260247976
2026-09-16,450708.61824259907
2026-09-17,427927.2243919
2026-09-18,416572.665105246
2026-09-19,427616.2548495382
2026-09-20,433316.7062462792
2026-09-21,411260.62375582755
2026-09-22,414724.7105381116
2026-09-23,429380.95426059514
2026-09-24,434378.7469429374
