date,value
2026-08-24,553555.2547528371
2026-08-25,555615.1149747223
2026-08-26,555185.8088528737
2026-08-27,535081.8190012202
2026-08-28,525131.2890390456
2026-08-29,520969.3520988077
2026-08-30,532774.4873491973
2026-08-31,517763.58160327375
2026-09-01,509236.21292607486
2026-09-02,509951.7066863477
2026-09-03,502842.12242192775
2026-09-04,503106.2375369817
2026-09-05,506515.66266678274
2026-09-06,526019.6623964831
2026-09-07,516948.6848651245
2026-09-08,508335.3525020182
2026-09-09,506801.0548831448
2026-09-10,498375.5738918483
2026-09-11,491062.7564014122
2026-09-12,493309.62080156803
2026-09-13,495689.17935761064
2026-09-14,490221.70093390346
2026-09-15,471914.70335772634
2026-09-16,450704.56889383495
2026-09-17,427894.8229948208
2026-09-18,416567.9577274993
2026-09-19,427645.17419475317
2026-09-20,433313.87209157646
2026-09-21,411266.18162498623
2026-09-22,414718.8727668077
2026-09-23,429387.06878858805
