date,value
2026-08-24,1578106144.0006194
2026-08-25,919655832.5159749
2026-08-26,645776308.5939521
2026-08-27,662718894.3279974
2026-08-28,390098220.5092808
2026-08-29,6102497.367960483
2026-08-30,177807865.94818455
2026-08-31,357847572.4167673
2026-09-01,189633310.4235705
2026-09-02,74498719.45996928
2026-09-03,679054116.0625746
2026-09-04,342286927.54763335
2026-09-05,379511233.14820063
2026-09-06,257867914.66127792
2026-09-07,118594387.23967513
2026-09-08,173619369.86540094
2026-09-09,150302394.65440398
2026-09-10,221359573.62008035
2026-09-11,11222794.718591392
2026-09-12,80337161.05789672
2026-09-13,45896010.69570446
2026-09-14,187617977.7757443
2026-09-15,-125572891.44930261
2026-09-16,-203041150.2820648
2026-09-17,-30820902.855042398
2026-09-18,679420611.4473215
2026-09-19,435584187.1954663
2026-09-20,99581000.67932557
2026-09-21,1714241209.3689928
2026-09-22,2212770929.2994165
2026-09-23,369030811.29863733
