date,value
2026-08-24,184953550.0825585
2026-08-25,221215438.00711593
2026-08-26,139858754.7730003
2026-08-27,47214531.38726185
2026-08-28,98741534.43084925
2026-08-29,15119432.323350001
2026-08-30,45107129.60586803
2026-08-31,89657891.3582981
2026-09-01,39738060.27078145
2026-09-02,-2121301.6462502778
2026-09-03,103510549.99819198
2026-09-04,81704108.25493772
2026-09-05,41379615.58847892
2026-09-06,43291276.969010904
2026-09-07,52290558.49482191
2026-09-08,39397399.171069026
2026-09-09,58746486.35903099
2026-09-10,36369481.01791618
2026-09-11,180033550.30832937
2026-09-12,67774582.14586532
2026-09-13,19810913.869694047
2026-09-14,76573443.23529649
2026-09-15,-51819324.590488434
2026-09-16,-18805150.94723028
2026-09-17,115566380.49367195
2026-09-18,198111629.15145755
2026-09-19,71340490.31605229
2026-09-20,31642341.80205194
2026-09-21,309334193.3686255
2026-09-22,137144946.47633058
2026-09-23,116665332.67525083
