date,value
2026-08-24,183826119.8339441
2026-08-25,221212061.4634429
2026-08-26,139843223.61810192
2026-08-27,47198277.05149305
2026-08-28,98752649.07149747
2026-08-29,15092807.737455886
2026-08-30,45080311.24366562
2026-08-31,89627830.46983355
2026-09-01,39738211.27746798
2026-09-02,-2102718.3501933664
2026-09-03,102661998.31539202
2026-09-04,81704972.68251687
2026-09-05,41370233.713104814
2026-09-06,43214909.525147066
2026-09-07,52364781.464730695
2026-09-08,39397465.083553776
2026-09-09,58438420.18602694
2026-09-10,36392324.12993739
2026-09-11,180000088.2338949
2026-09-12,67687698.32974713
2026-09-13,19807205.666137792
2026-09-14,76444776.90741923
2026-09-15,-51792415.05175188
2026-09-16,-18800593.828757092
2026-09-17,115540246.29689305
2026-09-18,198065268.64092642
2026-09-19,71402734.06584637
2026-09-20,31618400.99253999
2026-09-21,309071033.7141154
2026-09-22,137032170.6896438
2026-09-23,116402761.27448158
