date,value
2026-08-24,1576005838.0968037
2026-08-25,920025532.4426584
2026-08-26,645680640.5217221
2026-08-27,684857161.777398
2026-08-28,390383801.94989705
2026-08-29,5845660.9174595475
2026-08-30,176050974.93960425
2026-08-31,357891476.4583358
2026-09-01,189607654.37594074
2026-09-02,74028729.52080578
2026-09-03,670692036.1946665
2026-09-04,342250281.1495937
2026-09-05,379694986.97439843
2026-09-06,257476899.48100755
2026-09-07,117683767.23069832
2026-09-08,173579687.72158545
2026-09-09,165206021.29499125
2026-09-10,214890586.92861116
2026-09-11,11289458.020688355
2026-09-12,80298143.36121237
2026-09-13,45826496.45588656
2026-09-14,187003086.26605654
2026-09-15,-120114373.77179825
2026-09-16,-203234380.7675103
2026-09-17,-30533320.285389483
2026-09-18,679163842.21024
2026-09-19,440201611.0043463
2026-09-20,96961157.59637408
2026-09-21,1711570485.366396
2026-09-22,2211777245.0837545
2026-09-23,369483301.5939158
