date,value
2005-10-03,5448.0
2005-10-04,4976.0
2005-10-05,4786.0
2005-10-06,5338.0
2005-10-07,4708.0
2005-10-11,4071.0
2005-10-12,5265.0
2005-10-13,4766.0
2005-10-14,4558.0
2005-10-17,4282.0
2005-10-18,4697.0
2005-10-19,4469.0
2005-10-20,5301.0
2005-10-21,5324.0
2005-10-24,4550.0
2005-10-25,5489.0
2005-10-26,4727.0
2005-10-27,5484.0
2005-10-28,4742.0
2005-10-31,5712.0
2005-11-01,4950.0
2005-11-02,4499.0
2005-11-03,3575.0
2005-11-04,5030.0
2005-11-07,4967.0
2005-11-08,5994.0
2005-11-09,5388.0
2005-11-10,4618.0
2005-11-14,5090.0
2005-11-15,3675.0
2005-11-16,4416.0
2005-11-17,5051.0
2005-11-18,5469.0
2005-11-21,5049.0
2005-11-22,5082.0
2005-11-23,4162.0
2005-11-25,5685.0
2005-11-28,5518.0
2005-11-29,4265.0
2005-11-30,4634.0
2005-12-01,4852.0
2005-12-02,5036.0
2005-12-05,4914.0
2005-12-06,4573.0
2005-12-07,5076.0
2005-12-08,6385.0
2005-12-09,5468.0
2005-12-12,5684.0
2005-12-13,4308.0
2005-12-14,4990.0
2005-12-15,5840.0
2005-12-16,5430.0
2005-12-19,4482.0
2005-12-20,5915.0
2005-12-21,5290.0
2005-12-22,4515.0
2005-12-23,4892.0
2005-12-27,5643.0
2005-12-28,4243.0
2005-12-29,5951.0
2005-12-30,4573.0
2006-01-03,4973.0
2006-01-04,3922.0
2006-01-05,4828.0
2006-01-06,4731.0
2006-01-09,5184.0
2006-01-10,4895.0
2006-01-11,4465.0
2006-01-12,4971.0
2006-01-13,4890.0
2006-01-17,3715.0
2006-01-18,5429.0
2006-01-19,5311.0
2006-01-20,5160.0
2006-01-23,5254.0
2006-01-24,5888.0
2006-01-25,5266.0
2006-01-26,5394.0
2006-01-27,4937.0
2006-01-30,4910.0
2006-01-31,5606.0
2006-02-01,5095.0
2006-02-02,5546.0
2006-02-03,6172.0
2006-02-06,4380.0
2006-02-07,5103.0
2006-02-08,3973.0
2006-02-09,5518.0
2006-02-10,5213.0
2006-02-13,4959.0
2006-02-14,5323.0
2006-02-15,5125.0
2006-02-16,5056.0
2006-02-17,5031.0
2006-02-21,5519.0
2006-02-22,4334.0
2006-02-23,4893.0
2006-02-24,5115.0
2006-02-27,4870.0
2006-02-28,5024.0
2006-03-01,5427.0
2006-03-02,4707.0
2006-03-03,5194.0
2006-03-06,4876.0
2006-03-07,5181.0
2006-03-08,4851.0
2006-03-09,4889.0
2006-03-10,5000.0
2006-03-13,4247.0
2006-03-14,4372.0
2006-03-15,2844.0
2006-03-16,5082.0
2006-03-17,5080.0
2006-03-20,5908.0
2006-03-21,5346.0
2006-03-22,4414.0
2006-03-23,5401.0
2006-03-24,5773.0
2006-03-27,5341.0
2006-03-28,5118.0
2006-03-29,4619.0
2006-03-30,4786.0
2006-03-31,5455.0
2006-04-03,4941.0
2006-04-04,5844.0
2006-04-05,4663.0
2006-04-06,5122.0
2006-04-07,5432.0
2006-04-10,4943.0
2006-04-11,5185.0
2006-04-12,4334.0
2006-04-13,3646.0
2006-04-14,4649.0
2006-04-17,6760.0
2006-04-18,5394.0
2006-04-19,5245.0
2006-04-20,4753.0
2006-04-21,4835.0
2006-04-24,5345.0
2006-04-25,4459.0
2006-04-26,5610.0
2006-04-27,4836.0
2006-04-28,4784.0
2006-05-01,6738.0
2006-05-02,6421.0
2006-05-03,5215.0
2006-05-04,5377.0
2006-05-05,5117.0
2006-05-08,4728.0
2006-05-09,5667.0
2006-05-10,4931.0
2006-05-11,4943.0
2006-05-12,5191.0
2006-05-15,5129.0
2006-05-16,5640.0
2006-05-17,5055.0
2006-05-18,5665.0
2006-05-19,5671.0
2006-05-22,5432.0
2006-05-23,5035.0
2006-05-24,5188.0
2006-05-25,5374.0
2006-05-26,5228.0
2006-05-30,5163.0
2006-05-31,2637.0
2006-06-01,5279.0
2006-06-02,5226.0
2006-06-05,4979.0
2006-06-06,5140.0
2006-06-07,5552.0
2006-06-08,5024.0
2006-06-09,5189.0
2006-06-12,5205.0
2006-06-13,4528.0
2006-06-14,4468.0
2006-06-15,4257.0
2006-06-16,4908.0
2006-06-19,5177.0
2006-06-20,5505.0
2006-06-21,5385.0
2006-06-22,5570.0
2006-06-23,4939.0
2006-06-26,4799.0
2006-06-27,4401.0
2006-06-28,4879.0
2006-06-29,5111.0
2006-06-30,5525.0
2006-07-03,5063.0
2006-07-05,5528.0
2006-07-06,5570.0
2006-07-07,5214.0
2006-07-10,5081.0
2006-07-11,4986.0
2006-07-12,5024.0
2006-07-13,4935.0
2006-07-14,5037.0
2006-07-17,4087.0
2006-07-18,4999.0
2006-07-19,5272.0
2006-07-20,5097.0
2006-07-21,5000.0
2006-07-24,5268.0
2006-07-25,4931.0
2006-07-26,4824.0
2006-07-27,4977.0
2006-07-28,4454.0
2006-07-31,4546.0
2006-08-01,4683.0
2006-08-02,5471.0
2006-08-03,4690.0
2006-08-04,4950.0
2006-08-07,5051.0
2006-08-08,5004.0
2006-08-09,2907.0
2006-08-10,4694.0
2006-08-11,5498.0
2006-08-14,4512.0
2006-08-15,3083.0
2006-08-16,4443.0
2006-08-17,4129.0
2006-08-18,5225.0
2006-08-21,5042.0
2006-08-22,5191.0
2006-08-23,4943.0
2006-08-24,4693.0
2006-08-25,5170.0
2006-08-28,5088.0
2006-08-29,5458.0
2006-08-30,4919.0
2006-08-31,4907.0
2006-09-01,4411.0
2006-09-05,4792.0
2006-09-06,4373.0
2006-09-07,4789.0
2006-09-08,4614.0
2006-09-11,4725.0
2006-09-12,5193.0
2006-09-13,4690.0
2006-09-14,4958.0
2006-09-15,7507.0
2006-09-18,5011.0
2006-09-19,5089.0
2006-09-20,5216.0
2006-09-21,5227.0
2006-09-22,3646.0
2006-09-25,4235.0
2006-09-26,4976.0
2006-09-27,4585.0
2006-09-28,4450.0
2006-09-29,5451.0
2006-10-02,12396.0
2006-10-03,7131.0
2006-10-04,6222.0
2006-10-05,4518.0
2006-10-06,5470.0
2006-10-10,5715.0
2006-10-11,4103.0
2006-10-12,4971.0
2006-10-13,4462.0
2006-10-16,4962.0
2006-10-17,5123.0
2006-10-18,5540.0
2006-10-19,4831.0
2006-10-20,5120.0
2006-10-23,4843.0
2006-10-24,5862.0
2006-10-25,5346.0
2006-10-26,4696.0
2006-10-27,4804.0
2006-10-30,5146.0
2006-10-31,5617.0
2006-11-01,5007.0
2006-11-02,4707.0
2006-11-03,5051.0
2006-11-06,5429.0
2006-11-07,5322.0
2006-11-08,4624.0
2006-11-09,4675.0
2006-11-10,4925.0
2006-11-13,5155.0
2006-11-14,5299.0
2006-11-15,4820.0
2006-11-16,4733.0
2006-11-17,4601.0
2006-11-20,4903.0
2006-11-21,5074.0
2006-11-22,4128.0
2006-11-24,5155.0
2006-11-27,5563.0
2006-11-28,5243.0
2006-11-29,4807.0
2006-11-30,4373.0
2006-12-01,5482.0
2006-12-04,4858.0
2006-12-05,5220.0
2006-12-06,4523.0
2006-12-07,4671.0
2006-12-08,4576.0
2006-12-11,5086.0
2006-12-12,5192.0
2006-12-13,4500.0
2006-12-14,5087.0
2006-12-15,7083.0
2006-12-18,5511.0
2006-12-19,5181.0
2006-12-20,5436.0
2006-12-21,5660.0
2006-12-22,5122.0
2006-12-26,6060.0
2006-12-27,4470.0
2006-12-28,4418.0
2006-12-29,4708.0
2007-01-02,5784.0
2007-01-03,6156.0
2007-01-04,4312.0
2007-01-05,4825.0
2007-01-08,4642.0
2007-01-09,5151.0
2007-01-10,4999.0
2007-01-11,4998.0
2007-01-12,4407.0
2007-01-16,4643.0
2007-01-17,5533.0
2007-01-18,4782.0
2007-01-19,4796.0
2007-01-22,5899.0
2007-01-23,5302.0
2007-01-24,5412.0
2007-01-25,4756.0
2007-01-26,4949.0
2007-01-29,4906.0
2007-01-30,4825.0
2007-01-31,6053.0
2007-02-01,4939.0
2007-02-02,5048.0
2007-02-05,4524.0
2007-02-06,5816.0
2007-02-07,5255.0
2007-02-08,4801.0
2007-02-09,4967.0
2007-02-12,5163.0
2007-02-13,5131.0
2007-02-14,5102.0
2007-02-15,4404.0
2007-02-16,4819.0
2007-02-20,5594.0
2007-02-21,5304.0
2007-02-22,4704.0
2007-02-23,4539.0
2007-02-26,4606.0
2007-02-27,4594.0
2007-02-28,5194.0
2007-03-01,5394.0
2007-03-02,4325.0
2007-03-05,5386.0
2007-03-06,4873.0
2007-03-07,4449.0
2007-03-08,4752.0
2007-03-09,5189.0
2007-03-12,4910.0
2007-03-13,4923.0
2007-03-14,5113.0
2007-03-15,6285.0
2007-03-16,5351.0
2007-03-19,5471.0
2007-03-20,5328.0
2007-03-21,4721.0
2007-03-22,4971.0
2007-03-23,5143.0
2007-03-26,4760.0
2007-03-27,5002.0
2007-03-28,4772.0
2007-03-29,5118.0
2007-03-30,4245.0
2007-04-02,5505.0
2007-04-03,5057.0
2007-04-04,4973.0
2007-04-05,4905.0
2007-04-06,4541.0
2007-04-09,4653.0
2007-04-10,4767.0
2007-04-11,4758.0
2007-04-12,3307.0
2007-04-13,5748.0
2007-04-16,6867.0
2007-04-17,5523.0
2007-04-18,5235.0
2007-04-19,5412.0
2007-04-20,5400.0
2007-04-23,5236.0
2007-04-24,6641.0
2007-04-25,12250.0
2007-04-26,5636.0
2007-04-27,5713.0
2007-04-30,29504.0
2007-05-01,26577.0
2007-05-02,25350.0
2007-05-03,4375.0
2007-05-04,5409.0
2007-05-07,4170.0
2007-05-08,4902.0
2007-05-09,4726.0
2007-05-10,5284.0
2007-05-11,4235.0
2007-05-14,4414.0
2007-05-15,4630.0
2007-05-16,4125.0
2007-05-17,4890.0
2007-05-18,4828.0
2007-05-21,5412.0
2007-05-22,5293.0
2007-05-23,4312.0
2007-05-24,5157.0
2007-05-25,5309.0
2007-05-29,5251.0
2007-05-30,4637.0
2007-05-31,5340.0
2007-06-01,4744.0
2007-06-04,5110.0
2007-06-05,4486.0
2007-06-06,5396.0
2007-06-07,5319.0
2007-06-08,4927.0
2007-06-11,5076.0
2007-06-12,4783.0
2007-06-13,4742.0
2007-06-14,5264.0
2007-06-15,5980.0
2007-06-18,4747.0
2007-06-19,4355.0
2007-06-20,6022.0
2007-06-21,5343.0
2007-06-22,4813.0
2007-06-25,5471.0
2007-06-26,5170.0
2007-06-27,4039.0
2007-06-28,4709.0
2007-06-29,4649.0
2007-07-02,5356.0
2007-07-03,4117.0
2007-07-05,4860.0
2007-07-06,5098.0
2007-07-09,4865.0
2007-07-10,4453.0
2007-07-11,4914.0
2007-07-12,4956.0
2007-07-13,3821.0
2007-07-16,3849.0
2007-07-17,4851.0
2007-07-18,4100.0
2007-07-19,5061.0
2007-07-20,4894.0
2007-07-23,5690.0
2007-07-24,4998.0
2007-07-25,4931.0
2007-07-26,4806.0
2007-07-27,4959.0
2007-07-30,4536.0
2007-07-31,5126.0
2007-08-01,4769.0
2007-08-02,4937.0
2007-08-03,5085.0
2007-08-06,5375.0
